web-scraper-order,web-scraper-start-url,Date,Open,Close*
"1615854092-1256","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 07, 2021","1,740.06","1,787.25"
"1615854092-1223","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 25, 2021","2,067.45","2,031.36"
"1615854092-1479","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 20, 2020","1,522.00","1,518.15"
"1615854092-1259","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 04, 2021","1,757.54","1,728.24"
"1615854092-1307","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 23, 2020","1,626.07","1,641.00"
"1615854092-1270","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 16, 2020","1,772.88","1,763.00"
"1615854092-1461","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 17, 2020","1,093.11","1,119.80"
"1615854092-1438","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 20, 2020","1,271.00","1,266.61"
"1615854092-1474","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 27, 2020","1,362.06","1,318.09"
"1615854092-1410","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 29, 2020","1,416.94","1,428.92"
"1615854092-1384","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 07, 2020","1,490.00","1,485.18"
"1615854092-1236","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 05, 2021","2,070.00","2,098.00"
"1615854092-1497","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 24, 2020","1,493.59","1,466.71"
"1615854092-1234","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 09, 2021","2,078.54","2,083.51"
"1615854092-1490","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 04, 2020","1,457.07","1,447.07"
"1615854092-1216","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 08, 2021","2,101.13","2,024.17"
"1615854092-1453","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 27, 2020","1,125.67","1,110.71"
"1615854092-1287","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 20, 2020","1,765.21","1,742.19"
"1615854092-1485","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 11, 2020","1,511.81","1,508.79"
"1615854092-1504","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 14, 2020","1,439.01","1,430.88"
"1615854092-1255","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 08, 2021","1,787.98","1,807.21"
"1615854092-1263","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 28, 2020","1,751.64","1,776.09"
"1615854092-1212","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 12, 2021","2,085.00","2,061.92"
"1615854092-1481","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 18, 2020","1,515.00","1,519.67"
"1615854092-1403","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 09, 2020","1,445.36","1,456.16"
"1615854092-1455","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 25, 2020","1,126.47","1,102.49"
"1615854092-1231","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 12, 2021","2,090.25","2,104.11"
"1615854092-1411","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 28, 2020","1,396.86","1,416.73"
"1615854092-1274","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 10, 2020","1,769.80","1,775.33"
"1615854092-1383","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 08, 2020","1,494.32","1,496.00"
"1615854092-1492","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 31, 2020","1,468.90","1,434.23"
"1615854092-1332","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 18, 2020","1,498.01","1,459.99"
"1615854092-1441","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 15, 2020","1,245.61","1,262.47"
"1615854092-1297","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 06, 2020","1,753.95","1,761.75"
"1615854092-1221","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 01, 2021","2,056.52","2,081.51"
"1615854092-1385","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 06, 2020","1,480.06","1,495.70"
"1615854092-1337","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 11, 2020","1,536.00","1,520.72"
